Town,Year,PropertyType,NumSales,MedianSale,AvgSalesRatio
Avon,2020.0,nan,16,163500.0,0.7451772727272727
Avon,2021.0,Commercial,7,357860.0,0.7800047501428572
Avon,2021.0,Industrial,1,330000.0,0.8593
Avon,2021.0,Residential,482,400000.0,0.6931260395228215
Avon,2021.0,Vacant Land,14,190000.0,0.6232049783571428
Avon,2022.0,Commercial,9,1462180.0,1.8658625
Avon,2022.0,Residential,431,395000.0,0.5695529733347442
Avon,2022.0,Vacant Land,12,143125.0,0.52820327375
Avon,2023.0,Commercial,4,1122222.0,49.006125000000004
Avon,2023.0,Residential,249,452500.0,0.5149333333333334
Avon,2023.0,Vacant Land,16,186250.0,0.9334125
Barkhamsted,2001.0,nan,24,172500.0,0.7716291355
Barkhamsted,2002.0,nan,92,157900.0,0.5529828119673913
Barkhamsted,2003.0,nan,66,198750.0,0.646601229030303
Barkhamsted,2004.0,nan,21,192500.0,1.0552674868095238
Barkhamsted,2005.0,nan,77,238000.0,0.9781434899870131
Barkhamsted,2006.0,Single Family,11,275000.0,0.5906477595454546
Barkhamsted,2006.0,Two Family,2,22500.0,9.5175
Barkhamsted,2006.0,nan,40,254000.0,0.7531473235
Barkhamsted,2007.0,Single Family,57,228700.0,0.6450505658680556
Barkhamsted,2007.0,nan,13,165554.25,0.2765874276136364
Barkhamsted,2008.0,Single Family,28,253950.0,1.6871584469166665
Barkhamsted,2008.0,nan,10,182000.0,0.06385579911111111
Barkhamsted,2009.0,Single Family,9,215000.0,0.9908762653333333
Barkhamsted,2009.0,nan,2,50750.0,0.4116842105
Barkhamsted,2010.0,Single Family,29,224000.0,2.090694772586207
Barkhamsted,2010.0,Three Family,1,435000.0,1.088229885
Barkhamsted,2010.0,nan,12,67450.0,2.3534557273333334
Barkhamsted,2011.0,Single Family,24,235000.0,0.834408696375
Barkhamsted,2011.0,Two Family,1,230000.0,0.670478261
Barkhamsted,2011.0,nan,12,30000.0,1.55004801375
Barkhamsted,2012.0,Single Family,37,205900.0,1.1225707414864865
Barkhamsted,2012.0,nan,7,99900.0,0.8865350674285715
Barkhamsted,2013.0,Single Family,24,221065.0,1.2428986187916666
Barkhamsted,2013.0,nan,11,38000.0,1.875449666909091
Barkhamsted,2014.0,Single Family,13,246000.0,0.8467671206153846
Barkhamsted,2014.0,Two Family,1,140000.0,0.910285714
Barkhamsted,2014.0,nan,1,1500000.0,0.636026667
Barkhamsted,2015.0,Single Family,50,205000.0,1.00359969834
Barkhamsted,2015.0,Two Family,1,400000.0,0.658675
Barkhamsted,2015.0,nan,6,49500.0,0.8936420983333333
Barkhamsted,2016.0,Single Family,45,255000.0,0.7731512412222222
Barkhamsted,2016.0,Three Family,1,260000.0,0.748384615
Barkhamsted,2016.0,nan,7,175000.0,0.5057387958571429
Barkhamsted,2017.0,Single Family,45,255000.0,0.7620149189555556
Barkhamsted,2017.0,Two Family,1,206000.0,1.122912621
Barkhamsted,2017.0,nan,10,71000.0,0.6965280437000001
Barkhamsted,2018.0,Single Family,40,254750.0,0.77716386625
Barkhamsted,2018.0,Two Family,1,856000.0,0.5621
Barkhamsted,2018.0,nan,24,55000.0,1.033445638875
Barkhamsted,2019.0,Single Family,13,251450.0,0.6980162527222222
Barkhamsted,2019.0,nan,2,70000.0,1.7003499999999998
Barkhamsted,2020.0,Residential,28,294950.0,0.6781602147857143
Barkhamsted,2020.0,Single Family,63,235651.5,1.14286263045
Barkhamsted,2020.0,Vacant Land,4,63000.0,1.35525
Barkhamsted,2020.0,nan,2,37500.0,0.8355
Barkhamsted,2021.0,Commercial,3,5000.0,25.345366666666667
Barkhamsted,2021.0,Industrial,1,610000.0,0.9088
Barkhamsted,2021.0,Residential,57,290000.0,1.3244117179473684
Barkhamsted,2021.0,Vacant Land,17,55000.0,1.026143809117647
Barkhamsted,2022.0,Apartments,1,2220000.0,0.4709
Barkhamsted,2022.0,Commercial,4,705000.0,0.3308375
Barkhamsted,2022.0,Residential,68,360000.0,0.5296667768439614
Barkhamsted,2022.0,Vacant Land,29,45050.0,1.574052981557971
Barkhamsted,2023.0,Residential,31,392265.0,0.47821290322580645
Barkhamsted,2023.0,Vacant Land,12,75000.0,1.2262666666666668
Beacon Falls,2002.0,nan,36,222500.0,0.6207400946944444
Beacon Falls,2003.0,nan,142,241725.0,0.4736419644402985
Beacon Falls,2004.0,nan,155,244250.0,0.46544261997147585
Beacon Falls,2005.0,nan,154,263599.0,0.5962262942597403
Beacon Falls,2006.0,nan,91,275000.0,0.34130721424175825
Beacon Falls,2007.0,Condo,9,262385.5,0.552593458
Beacon Falls,2007.0,Single Family,13,77350.0,1.9180297408333333
Beacon Falls,2007.0,nan,4,150000.0,0.671613071
Beacon Falls,2008.0,Condo,36,445735.0,0.1923962567140468
Beacon Falls,2008.0,Single Family,37,230750.0,1.6343356786206296
Beacon Falls,2008.0,Two Family,1,243200.0,0.762088816
Beacon Falls,2008.0,nan,6,256750.0,26.9127827052
Beacon Falls,2009.0,Condo,31,437585.0,0.456835785483871
Beacon Falls,2009.0,Single Family,59,220000.0,0.8968771359322034
Beacon Falls,2009.0,nan,3,72500.0,1.2367252736666667
Beacon Falls,2010.0,Condo,16,327362.5,0.454735199
Beacon Falls,2010.0,Single Family,64,215487.5,0.943781728765625
Beacon Falls,2010.0,Two Family,2,182750.0,0.935120755
Beacon Falls,2010.0,nan,8,355000.0,1.0435708882142856
Beacon Falls,2011.0,Condo,8,140000.0,0.96143168125
Beacon Falls,2011.0,Single Family,28,196500.0,1.2269033526785713
Beacon Falls,2011.0,nan,6,67500.0,1.2151652778333333
Beacon Falls,2012.0,Condo,3,121000.0,0.8742399930000001
Beacon Falls,2012.0,Single Family,23,203500.0,0.9128592769999999
Beacon Falls,2012.0,nan,1,55849.0,1.290801984
Beacon Falls,2013.0,Condo,23,259900.0,0.7045841649130434
Beacon Falls,2013.0,Single Family,63,188000.0,0.9309901282539682
Beacon Falls,2013.0,nan,6,363750.0,1.1288896336666667
Beacon Falls,2014.0,Condo,23,229250.0,0.760166606265873
Beacon Falls,2014.0,Single Family,71,240000.0,0.8853822939990197
Beacon Falls,2014.0,Two Family,3,113000.0,1.80364809775
Beacon Falls,2014.0,nan,15,148625.0,0.807504244159091
Beacon Falls,2015.0,Condo,25,403290.0,0.60448399564
Beacon Falls,2015.0,Single Family,64,197500.0,1.0858085608749999
Beacon Falls,2015.0,Two Family,1,160000.0,1.1189375
Beacon Falls,2015.0,nan,10,100000.0,0.7360310567777777
Beacon Falls,2016.0,Condo,15,313700.0,0.47607398413333335
Beacon Falls,2016.0,Single Family,57,221000.0,0.9053764126666666
Beacon Falls,2016.0,Two Family,2,223223.5,1.009350898
Beacon Falls,2016.0,nan,4,91750.0,0.7398107300000001
Beacon Falls,2017.0,Condo,5,153000.0,0.6397342906000001
Beacon Falls,2017.0,Single Family,15,303000.0,0.5743506458666666
Beacon Falls,2018.0,Condo,39,173500.0,0.5002519295641026
Beacon Falls,2018.0,Single Family,89,206000.0,4327.440378796
Beacon Falls,2018.0,nan,3,80000.0,0.8055333333333333
Beacon Falls,2019.0,Condo,42,210625.0,0.4672273163088235
Beacon Falls,2019.0,Single Family,96,219975.0,0.8266457734868421
Beacon Falls,2019.0,Two Family,4,185662.5,0.7816000000000001
Beacon Falls,2019.0,nan,16,88250.0,1.0417673835
Beacon Falls,2020.0,Condo,24,336812.5,0.3480819327731092
Beacon Falls,2020.0,Industrial,1,90000.0,0.8731
Beacon Falls,2020.0,Residential,41,275000.0,0.48267872065853656
Beacon Falls,2020.0,Single Family,67,269875.0,0.7045661067193676
Beacon Falls,2020.0,Two Family,1,210000.0,0.7622
Beacon Falls,2020.0,nan,8,737500.0,0.76919
Beacon Falls,2021.0,Commercial,1,52500.0,1.815047619
Beacon Falls,2021.0,Residential,113,279000.0,0.5303028235398229
Beacon Falls,2021.0,Vacant Land,7,80000.0,0.892875737
Beacon Falls,2022.0,Residential,29,369000.0,0.5141620689655173
Beacon Falls,2022.0,Vacant Land,1,60000.0,0.6263
Beacon Falls,2023.0,Commercial,2,192250.0,1.06055
Beacon Falls,2023.0,Residential,114,310800.0,0.5365578947368421
Beacon Falls,2023.0,Vacant Land,21,395000.0,0.1936142857142857
Beacon Falls,2024.0,Commercial,1,4250000.0,0.5642
Beacon Falls,2024.0,Residential,66,357500.0,0.48966818181818184
Beacon Falls,2024.0,Vacant Land,4,148500.0,0.416325
Berlin,2001.0,nan,137,180000.0,0.7527736761824817
Berlin,2002.0,nan,327,190000.0,4.81942950151682
Berlin,2003.0,nan,23,279500.0,1.6510930717222223
Berlin,2004.0,nan,428,230000.0,1.1522163029506554
Berlin,2005.0,nan,403,270000.0,2.0917080112009927
Berlin,2006.0,Condo,17,285000.0,1.741555973352941
Berlin,2006.0,Four Family,1,365000.0,0.584657534
Berlin,2006.0,Single Family,59,271000.0,0.9726142765254238
Berlin,2006.0,Two Family,4,209000.0,0.4704576465
Berlin,2006.0,nan,310,261500.0,0.7472176496129032
Berlin,2007.0,Condo,71,327361.0,4.592361766394366
Berlin,2007.0,Single Family,177,280000.0,0.5526557381468926
Berlin,2007.0,Three Family,1,310000.0,0.406451613
Berlin,2007.0,Two Family,4,208500.0,0.542541489
Berlin,2007.0,nan,45,229900.0,0.6399399047777778
Berlin,2008.0,Condo,12,295899.0,6.831034653583333
Berlin,2008.0,Single Family,49,260000.0,0.7763519670408163
Berlin,2008.0,Three Family,1,267000.0,0.75505618
Berlin,2008.0,Two Family,1,128000.0,2.02734375
Berlin,2008.0,nan,7,50000.0,11.727936759428571
Berlin,2009.0,Condo,44,295000.0,3.706760328181818
Berlin,2009.0,Single Family,185,240000.0,1.2469146094486485
Berlin,2009.0,Two Family,4,227750.0,0.88634872775
Berlin,2009.0,nan,15,121500.0,2.6437333586785714
Berlin,2010.0,Condo,81,235825.0,2.330698003012346
Berlin,2010.0,Single Family,170,244950.0,0.9293617839117647
Berlin,2010.0,Two Family,9,179000.0,0.9567899811111111
Berlin,2010.0,nan,18,120000.0,1.635266240111111
Berlin,2011.0,Condo,88,242300.0,0.6364292063636363
Berlin,2011.0,Single Family,167,240000.0,0.9443728868143711
Berlin,2011.0,Two Family,11,198000.0,1.3973008444545454
Berlin,2011.0,nan,27,201690.0,2.3955203994444445
Berlin,2012.0,Condo,46,246912.5,0.6960819401086956
Berlin,2012.0,Four Family,1,330000.0,0.754545455
Berlin,2012.0,Single Family,145,230000.0,0.9919724815724137
Berlin,2012.0,Two Family,2,87500.0,2.1748333335
Berlin,2012.0,nan,22,276500.0,1.2845576002272727
Berlin,2013.0,Condo,18,240387.5,0.6218551959444444
